,UNITID,TYPE,1516_ASSETS,1516_EXPENSES,1516_REVENUE,1516_RESEARCH,1415_ASSETS,1415_EXPENSES,1415_REVENUE,1415_RESEARCH,1314_ASSETS,1314_EXPENSES,1314_REVENUE,1314_RESEARCH,1213_ASSETS,1213_EXPENSES,1213_REVENUE,1213_RESEARCH,1112_ASSETS,1112_EXPENSES,1112_REVENUE,1112_RESEARCH,1011_ASSETS,1011_EXPENSES,1011_REVENUE,1011_RESEARCH,0910_ASSETS,0910_EXPENSES,0910_REVENUE,0910_RESEARCH,0809_ASSETS,0809_EXPENSES,0809_REVENUE,0809_RESEARCH,0708_ASSETS,0708_EXPENSES,0708_REVENUE,0708_RESEARCH,0607_ASSETS,0607_EXPENSES,0607_REVENUE,0607_RESEARCH,0506_ASSETS,0506_EXPENSES,0506_REVENUE,0506_RESEARCH,0405_ASSETS,0405_EXPENSES,0405_REVENUE,0405_RESEARCH,0304_ASSETS,0304_EXPENSES,0304_REVENUE,0304_RESEARCH,0203_ASSETS,0203_EXPENSES,0203_REVENUE,0203_RESEARCH,0102_ASSETS,0102_EXPENSES,0102_REVENUE,0102_RESEARCH
838,193973,not-for-profit,193768629.0,81444557.0,76604777.0,0,198608409.0,79084971.0,81118070.0,0,196575310.0,77191936.0,86807610.0,0,186959636.0,75802451.0,86384497.0,0,176377590.0,77137521.0,79014506.0,0,174500605.0,74530402.0,90527865.0,0,158503142.0,71468929.0,89601407.0,0,140370664.0,72596608,65141166,0,147826092.0,69118418,87199992,0,129744517.0,63955173,81567533,0,112132157.0,61264266,74019028,0,99377395.0,57625504,71652933,0,85349964.0,53323746,57388643,0,81285067,51113073,49651293,0,82746847.0,45343666.0,45708363.0,0.0
839,194073,not-for-profit,39125739.0,17417895.0,17043890.0,436537,39499744.0,17589299.0,16762277.0,460559,40326766.0,16712053.0,18394103.0,462867,38644716.0,15731952.0,15710521.0,467961,38666147.0,15897965.0,16094315.0,440446,38469797.0,15950780.0,16073457.0,441669,38347120.0,15977771.0,14544944.0,55483,39779947.0,14747102,11901726,91093,42625323.0,13616907,13966084,127947,42276146.0,9997173,47675489,130291,16965462.0,11679187,12603939,6948,48941624.0,12763589,12270023,0,49435190.0,10734041,11693632,0,48475597,9754974,11899545,152696,46331026.0,10060124.0,11266990.0,0.0
840,194091,not-for-profit,153553459.0,249645095.0,264569380.0,12426057,143470715.0,234658357.0,254116806.0,11782191,142017604.0,223285923.0,237958006.0,11514986,128598340.0,224423616.0,227840102.0,10442757,91074538.0,224464187.0,224577493.0,8770615,93143962.0,219995473.0,226702610.0,7704892,89340596.0,210588486.0,222527331.0,8685116,85763880.0,204471536,204112875,6499227,79808520.0,201206155,208235480,6082378,74699605.0,190598725,207723345,5902094,61049144.0,164719417,177803805,4958020,52299568.0,140070916,152387871,5268186,36038054.0,133612849,144115756,4944979,29560819,131185438,135025084,5867975,27900631.0,130635056.0,130794841.0,5752640.0
841,194116,not-for-profit,32896092.0,14368144.0,13179028.0,0,34085208.0,14287466.0,13376674.0,0,34996000.0,14347430.0,15624537.0,0,33718893.0,14291591.0,13934907.0,0,34075577.0,14084870.0,13019534.0,0,35140913.0,12505604.0,14812579.0,0,32833938.0,10122297.0,11980971.0,0,30975264.0,9538968,4924286,0,35589946.0,8746543,10407886,0,33928603.0,8329055,11109414,0,31148244.0,7992050,8476902,0,30663392.0,7819950,8755569,0,29727773.0,7312339,8976024,0,28064088,6907552,6677683,0,35249783.0,5733922.0,7989111.0,0.0
842,194161,not-for-profit,15398618.0,46905300.0,38325716.0,0,23978202.0,47184341.0,45912631.0,0,25249912.0,46138134.0,46273513.0,0,25114533.0,46167810.0,46480249.0,0,24802094.0,47516063.0,48763978.0,0,23554179.0,45466643.0,47175368.0,0,21845454.0,43826242.0,46106318.0,0,19565378.0,42397770,41069946,0,20893203.0,43289706,41963375,0,22219534.0,41190549,42793644,0,20616439.0,39172925,39551672,0,20237384.0,37585237,37706064,0,19601489.0,33545030,34993056,0,17750659,31541033,32090728,0,17556126.0,29607759.0,28875384.0,0.0
843,194189,not-for-profit,3094129.0,3377243.0,3792913.0,0,2678459.0,3297515.0,3255706.0,0,2720268.0,3178225.0,3356340.0,0,2542153.0,3441500.0,3520950.0,0,2462703.0,3006499.0,3134975.0,0,2334227.0,2685168.0,3076828.0,0,1942567.0,2871944.0,3143334.0,0,1671177.0,2808512,2919052,0,1560637.0,2701696,2933085,0,1329248.0,2568217,2936257,0,961208.0,2339997,2621293,0,679912.0,2385982,2509048,0,556846.0,2119832,2134412,0,542266,2136642,2356425,0,322483.0,1963966.0,2026385.0,0.0
844,194310,not-for-profit,222882411.0,355998024.0,382468830.0,5575263,208171878.0,343111229.0,350024323.0,4633442,184353738.0,331617609.0,355149314.0,4644621,160819793.0,322541300.0,341661904.0,3999298,140559083.0,306066368.0,300909642.0,4206806,156484162.0,292760202.0,319427346.0,3961896,129817018.0,277047402.0,280025014.0,2709858,143863296.0,280257716,246590126,1649599,185368870.0,266823445,263579383,2420618,187600787.0,280345295,286481396,2245638,192343242.0,274182103,288894471,2452166,174523014.0,258300075,260599997,2722436,182602862.0,239227855,257944019,2995047,162336172,225870373,225651797,2855538,157834271.0,211649686.0,199588090.0,1922389.0
845,194392,not-for-profit,55178211.0,27168528.0,24979202.0,0,57367537.0,25988380.0,29051899.0,0,54304018.0,26983698.0,27557304.0,0,53730412.0,26543912.0,29292131.0,0,50982193.0,25784910.0,27858081.0,0,48909022.0,23609776.0,28477538.0,0,44041260.0,22425476.0,24975567.0,0,41491169.0,23079748,18415793,0,46155124.0,22460972,25767471,0,42848625.0,20620774,23846597,0,38735445.0,22053346,26070765,0,35806151.0,20852181,24534098,0,32124234.0,20409758,22530844,0,30003148,20162705,20690811,0,29475042.0,18842504.0,20396738.0,0.0
846,194569,not-for-profit,2495248.0,4300461.0,3941853.0,0,2853856.0,4545236.0,4405459.0,0,2993633.0,4321499.0,5007755.0,0,2307377.0,3903153.0,4392122.0,0,1818408.0,3447948.0,3757177.0,0,1509179.0,3582210.0,4024508.0,0,1066881.0,3656240.0,3702007.0,0,1021114.0,3289571,3441452,0,869233.0,4029955,3412340,0,1486848.0,4216338,3671237,0,2031949.0,4282419,3685863,0,2628505.0,4057014,3669305,0,3016214.0,3888908,3741165,0,3163957,3824600,3674061,0,3314496.0,3126561.0,3089903.0,0.0
847,194578,not-for-profit,329264035.0,178109688.0,187869139.0,0,331582375.0,170617440.0,182286256.0,0,316725339.0,168370250.0,197599720.0,0,296975265.0,158235602.0,183516776.0,0,263274429.0,152154788.0,159068018.0,0,265887248.0,142049342.0,167455208.0,0,231860240.0,132809174.0,153024587.0,0,218344175.0,123377960,137510756,0,227075824.0,119908671,130785327,0,226888223.0,112040444,137033215,0,210715955.0,105506271,119703597,0,198358713.0,93850048,111538055,0,180670706.0,89246021,109656926,0,160259801,81580124,93328771,0,148511154.0,71958704.0,88625426.0,0.0
