Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,3.875000,4.106000,3.860000,4.025000,4.025000,0
2003-01-08,3.996000,4.203000,3.955000,4.085000,4.085000,0
2003-01-15,4.095000,4.170000,3.982000,3.989000,3.989000,0
2003-01-22,3.955000,4.034000,3.871000,3.978000,3.978000,0
2003-01-29,3.968000,4.078000,3.929000,3.931000,3.931000,0
2003-02-05,3.937000,4.038000,3.917000,3.957000,3.957000,0
2003-02-12,3.929000,3.995000,3.837000,3.948000,3.948000,0
2003-02-19,3.935000,3.940000,3.755000,3.808000,3.808000,0
2003-02-26,3.808000,3.818000,3.634000,3.645000,3.645000,0
2003-03-05,3.624000,3.688000,3.549000,3.586000,3.586000,0
2003-03-12,3.567000,3.912000,3.553000,3.898000,3.898000,0
2003-03-19,3.944000,4.117000,3.910000,3.961000,3.961000,0
2003-03-26,3.955000,3.975000,3.780000,3.827000,3.827000,0
2003-04-02,3.889000,4.080000,3.888000,3.936000,3.936000,0
2003-04-09,3.902000,4.038000,3.887000,3.971000,3.971000,0
2003-04-16,3.990000,4.034000,3.901000,3.983000,3.983000,0
2003-04-23,3.997000,4.010000,3.852000,3.929000,3.929000,0
2003-04-30,3.925000,3.955000,3.792000,3.808000,3.808000,0
2003-05-07,3.725000,3.750000,3.597000,3.623000,3.623000,0
2003-05-14,3.612000,3.613000,3.356000,3.374000,3.374000,0
2003-05-21,3.413000,3.435000,3.290000,3.401000,3.401000,0
2003-05-28,3.474000,3.484000,3.301000,3.342000,3.342000,0
2003-06-04,3.342000,3.401000,3.186000,3.194000,3.194000,0
2003-06-11,3.170000,3.275000,3.074000,3.266000,3.266000,0
2003-06-18,3.315000,3.433000,3.260000,3.265000,3.265000,0
2003-06-25,3.239000,3.597000,3.203000,3.549000,3.549000,0
2003-07-02,3.609000,3.769000,3.514000,3.733000,3.733000,0
2003-07-09,3.695000,3.968000,3.617000,3.914000,3.914000,0
2003-07-16,4.017000,4.224000,3.924000,4.150000,4.150000,0
2003-07-23,4.116000,4.403000,4.035000,4.398000,4.398000,0
2003-07-30,4.379000,4.592000,4.248000,4.441000,4.441000,0
2003-08-06,4.402000,4.419000,4.190000,4.357000,4.357000,0
2003-08-13,4.476000,4.668000,4.363000,4.381000,4.381000,0
2003-08-20,4.361000,4.609000,4.335000,4.486000,4.486000,0
2003-08-27,4.475000,4.611000,4.417000,4.601000,4.601000,0
2003-09-03,4.565000,4.616000,4.276000,4.371000,4.371000,0
2003-09-10,4.368000,4.369000,4.173000,4.291000,4.291000,0
2003-09-17,4.228000,4.324000,4.123000,4.214000,4.214000,0
2003-09-24,4.218000,4.235000,3.935000,3.937000,3.937000,0
2003-10-01,3.949000,4.249000,3.912000,4.244000,4.244000,0
2003-10-08,4.263000,4.354000,4.208000,4.350000,4.350000,0
2003-10-15,4.367000,4.475000,4.317000,4.366000,4.366000,0
2003-10-22,4.292000,4.354000,4.187000,4.189000,4.189000,0
2003-10-29,4.206000,4.394000,4.197000,4.305000,4.305000,0
2003-11-05,4.301000,4.491000,4.287000,4.460000,4.460000,0
2003-11-12,4.426000,4.427000,4.157000,4.167000,4.167000,0
2003-11-19,4.159000,4.258000,4.113000,4.186000,4.186000,0
2003-11-26,4.171000,4.450000,4.169000,4.380000,4.380000,0
2003-12-03,4.394000,4.430000,4.182000,4.352000,4.352000,0
2003-12-10,4.314000,4.374000,4.184000,4.234000,4.234000,0
2003-12-17,4.196000,4.275000,4.099000,4.269000,4.269000,0
2003-12-24,4.240000,4.300000,4.147000,4.279000,4.279000,0
2003-12-31,4.265000,4.418000,4.249000,4.277000,4.277000,0
2004-01-07,4.300000,4.316000,4.021000,4.028000,4.028000,0
2004-01-14,4.026000,4.066000,3.921000,4.057000,4.057000,0
2004-01-21,4.047000,4.149000,3.918000,4.087000,4.087000,0
2004-01-28,4.109000,4.257000,4.027000,4.100000,4.100000,0
2004-02-04,4.101000,4.203000,4.057000,4.102000,4.102000,0
2004-02-11,4.118000,4.135000,3.989000,4.048000,4.048000,0
2004-02-18,4.019000,4.109000,3.992000,4.029000,4.029000,0
2004-02-25,4.013000,4.070000,3.939000,4.046000,4.046000,0
2004-03-03,4.078000,4.106000,3.704000,3.719000,3.719000,0
2004-03-10,3.727000,3.805000,3.680000,3.688000,3.688000,0
2004-03-17,3.672000,3.794000,3.650000,3.711000,3.711000,0
2004-03-24,3.707000,3.911000,3.675000,3.902000,3.902000,0
2004-03-31,3.888000,4.234000,3.831000,4.171000,4.171000,0
2004-04-07,4.148000,4.346000,4.124000,4.340000,4.340000,0
2004-04-14,4.354000,4.469000,4.312000,4.415000,4.415000,0
2004-04-21,4.477000,4.482000,4.368000,4.404000,4.404000,0
2004-04-28,4.412000,4.634000,4.403000,4.543000,4.543000,0
2004-05-05,4.512000,4.799000,4.487000,4.768000,4.768000,0
2004-05-12,4.759000,4.904000,4.697000,4.736000,4.736000,0
2004-05-19,4.784000,4.809000,4.680000,4.724000,4.724000,0
2004-05-26,4.697000,4.744000,4.586000,4.704000,4.704000,0
2004-06-02,4.710000,4.816000,4.681000,4.771000,4.771000,0
2004-06-09,4.787000,4.874000,4.683000,4.686000,4.686000,0
2004-06-16,4.715000,4.765000,4.651000,4.704000,4.704000,0
2004-06-23,4.721000,4.760000,4.613000,4.695000,4.695000,0
2004-06-30,4.679000,4.682000,4.410000,4.480000,4.480000,0
2004-07-07,4.492000,4.509000,4.431000,4.479000,4.479000,0
2004-07-14,4.462000,4.503000,4.351000,4.448000,4.448000,0
2004-07-21,4.473000,4.601000,4.432000,4.595000,4.595000,0
