UNITID,LAT,LNG
130217,41.825226,-71.88994799999999
130253,41.2229397,-73.2427173
130314,41.780976,-72.72846550000001
130396,41.3045457,-72.9272621
130448,41.201187,-73.20165349999999
130493,41.3322047,-72.9464703
130590,41.7466539,-72.6925357
130606,41.7062915,-72.8787311
130697,41.5563557,-72.6561627
130776,41.400054,-73.446533
130794,41.3111478,-72.9266477
130934,39.1850642,-75.5418308
131098,39.1632404,-75.52723809999999
131113,39.6498564,-75.62018669999999
131159,38.936049,-77.08876649999999
131283,38.9369141,-77.0003067
131399,38.9445169,-77.0657105
131450,38.9167234,-77.02294549999999
131469,38.9009637,-77.0476606
131496,38.9076729,-77.071613
131520,38.9224403,-77.0210981
131830,38.90999,-77.0651259
131876,38.9275799,-77.0031197
132338,26.1009883,-80.1235366
132408,30.9626164,-85.5046179
132471,25.8790842,-80.1963899
132602,29.2131821,-81.032331
132693,28.3840432,-80.7550504
132709,26.119446,-80.141768
132851,29.1658676,-82.1780983
132879,28.301658,-81.362402
132903,28.5968774,-81.2033083
133021,30.7893796,-85.232429
133386,29.2034388,-81.0498333
133465,26.6922008,-80.1983613
133492,27.719007,-82.68860769999999
133508,26.5512125,-81.8873911
133526,30.3436937,-81.6836704
133553,29.1885916,-81.05344099999999
133650,30.4272563,-84.2856115
133669,26.373303,-80.109009
133702,30.335065,-81.662342
133711,29.89305239999999,-81.3149756
133809,28.034409,-82.383043
133881,28.0640125,-80.6242041
133951,25.7590369,-80.37412929999999
133960,24.5843489,-81.744976
133979,25.9182546,-80.27078999999999
133997,25.7552134,-80.3668521
134079,28.0296648,-81.9449388
134097,30.4404775,-84.2908283
134112,28.5732919,-81.1965375
134130,29.6516344,-82.32482619999999
134237,28.5965501,-81.3013416
134343,30.1856374,-85.7279634
134495,27.9348426,-82.45627759999999
134510,27.064202,-80.130433
134608,27.4219692,-80.357846
134945,30.3507909,-81.606326
135160,30.1893893,-82.63928849999999
135188,28.82808069999999,-81.79705179999999
135267,26.6475325,-81.83653509999999
135391,27.439483,-82.594276
135717,25.7775568,-80.19103729999999
135726,25.7191685,-80.2771253
136066,26.7560212,-80.0925577
136145,30.4734046,-83.4235381
136172,30.2706682,-81.5104313
136233,30.5347084,-86.47285409999999
136358,26.6117786,-80.0872773
136400,28.2759608,-82.64740719999999
136473,30.4808027,-87.20191849999999
136516,28.0329108,-81.7136508
136774,27.360496,-82.54875419999999
136950,28.5926397,-81.3483372
137032,28.3382635,-82.25784970000001
137078,27.9025272,-82.7173478
137096,29.6771331,-82.4304063
137209,28.7441527,-81.30555679999999
137281,29.6458337,-81.6815312
137315,27.5686911,-81.5076514
137351,28.0681115,-82.40486829999999
137476,25.922003,-80.2532694
137546,29.0366133,-81.3032905
137564,28.0314996,-81.9180616
137759,30.44427009999999,-84.34044229999999
137953,30.3100098,-81.79624489999999
138187,28.5207946,-81.4713668
138284,30.774153,-85.552896
138293,27.8377618,-81.5314696
138354,30.5491387,-87.21858619999999
138558,31.4819694,-83.52825880000002
138600,33.7682498,-84.29448889999999
138682,31.554176,-84.17434399999999
138691,31.581787,-84.21373799999999
138716,31.5711008,-84.1444411
138761,31.7722937,-84.79495310000001
138789,31.97818669999999,-81.1650166
138813,33.93600929999999,-84.3553493
138840,33.7107783,-84.4023694
138868,32.8791226,-85.1847494
138901,33.7098439,-84.4054456
138947,33.7482561,-84.4130399
139010,30.9035303,-84.5438841
139144,34.2904917,-85.1879616
139153,33.7368694,-84.3577786
139199,34.303076,-83.818871
139205,32.1857919,-82.5847649
139214,33.7847897,-84.3897265
139250,31.1832206,-81.48698019999999
139278,33.6915607,-85.1835163
139311,33.5944329,-84.33076100000001
139357,32.5081204,-84.97843449999999
139366,32.5039,-84.9392331
139384,34.2239951,-85.1710231
139393,34.9665341,-85.3743427
139463,34.77726,-85.0022215
139621,32.5938846,-82.30629119999999
139630,34.28149750000001,-83.1489383
139658,33.7894134,-84.32553399999999
139700,34.169222,-85.2066467
139719,32.53709070000001,-83.89823270000001
139755,33.7724173,-84.39479159999999
139764,32.0577513,-84.22053559999999
139861,33.0827689,-83.2318512
139931,None,None
139940,33.7534327,-84.38590719999999
139959,33.9562553,-83.3740399
139968,33.0477241,-84.1536461
139986,33.255097,-84.2900478
139995,33.7106505,-84.17986160000001
140003,33.9012642,-84.12183379999999
140012,33.9625443,-84.07033369999999
140234,33.037953,-85.04593799999999
140243,34.2356039,-83.86395189999999
140252,33.93127,-84.51742639999999
140331,33.929232,-84.55335319999999
140447,32.8289979,-83.6501825
140678,34.6385651,-83.5262238
140696,33.8759378,-84.3347556
140720,33.4695551,-81.9932536
140872,34.3133175,-84.5407649
140942,32.02321,-81.1146083
140951,32.072944,-81.093773
140960,32.0229767,-81.05557560000001
140988,34.2634127,-85.1917422
141006,32.1176645,-84.19166129999999
